batch,Iteration,SMILES,Ered,syba_score
initial,0,CCc1c2c(c(C)c3nsnc13)CC(C)C2,-2.44,6.921271350090605
initial,1,COCCN1CCN(C)c2c1cc1nsnc1c2C(C)C,-2.57,26.66276407071539
initial,2,CCNc1c2c(cc3nsnc13)OC(C(C)C)CO2,-2.43,11.749551015435339
initial,3,CCCCc1c2c(c(OCCC)c3nsnc13)C1CCC2C1,-2.43,23.194513990212148
initial,4,CCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.74,8.713410777988516
initial,5,COc1c2c(c(C)c3nsnc13)CCO2,-2.38,-0.4301845101971318
initial,6,CCCc1c(OC)cc2nsnc2c1NC,-2.47,34.20445402486957
initial,7,CC(C)C1COc2c(ccc3nsnc23)O1,-2.27,13.318181229295222
initial,8,COc1cc2c(c3nsnc13)[N+](C)=C([O-])C2,-2.2,13.919926667518315
initial,9,CCNc1c(C)cc(NC)c2nsnc12,-2.36,27.502871317265924
sample,1,CCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.69,8.531090663470705
sample,2,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.73,12.951571247568054
sample,3,CCCCN1CN(CC)c2cc3nsnc3c(NC)c21,-2.77,14.884354217388958
sample,4,CCCCN1CN(CC)c2c1cc1nsnc1c2NC,-2.71,15.395182725696833
sample,5,CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,-2.66,16.156921293930765
sample,6,CCCNc1c2c(cc3nsnc13)N(CCC)CN2C,-2.71,16.834930603056197
sample,7,CCC(C)N1CN(CC)c2c1cc1nsnc1c2NC,-2.56,11.600025648776349
sample,8,CCCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.85,16.02678493267185
sample,9,CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.63,16.867693628474946
sample,10,CCNc1c2c(cc3nsnc13)N(CC)CN2CC,-2.99,8.310331777651623
sample,11,CCCNc1c2c(cc3nsnc13)N(CC)CN2C,-2.8,14.520631760621631
sample,12,CCCN1CN(C)c2c1cc1nsnc1c2NCC,-2.63,9.162692870445722
sample,13,CCCN1CN(C)c2cc3nsnc3c(NCC)c21,-2.67,6.572404070791196
sample,14,CCCCN1CN(C)c2c1cc1nsnc1c2NC,-2.76,14.239013321132148
sample,15,CCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,-2.84,12.773243317537903
sample,16,CCN1CN(C(C)C)c2c1cc1nsnc1c2NC,-2.8,11.163799636028358
sample,17,CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.51,13.864102202763672
sample,18,CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,-2.77,15.390823796675786
sample,19,CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.63,22.35045008038533
sample,20,CCc1c2c(c(NC)c3nsnc13)N(CC)CN2C,-2.52,8.10241113612916
sample,21,CCN1CN(CC(C)C)c2cc3nsnc3c(NC)c21,-2.76,14.398740740468085
sample,22,CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,-2.61,13.482445681784228
sample,23,CCNc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.74,10.17519822990747
sample,24,CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,-2.67,13.739284641029192
sample,25,CCN1CN(C)c2c1cc1nsnc1c2NCC(C)C,-2.76,18.29954432035232
sample,26,CCNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.75,11.341438974586902
sample,27,CCNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.66,15.030342947443103
sample,28,CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,-2.61,12.758405789573715
sample,29,CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,-2.48,21.010076377810687
sample,30,CNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.95,9.762650439543203
sample,31,CC(C)CNc1c2c(cc3nsnc13)N(C)CN2C,-2.48,16.370574734726006
sample,32,CCC(C)N1CN(C)c2c1cc1nsnc1c2NC,-2.65,10.903112922462414
sample,33,CNc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,-2.88,6.973204539026993
sample,34,CCC(C)N1CN(C)c2cc3nsnc3c(NC)c21,-2.94,7.214208949606212
sample,35,CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.82,12.690884534002116
sample,36,CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,-2.47,9.990581967266799
sample,37,CCCN1CN(C)c2c1cc1nsnc1c2NC,-2.58,7.374921258906026
sample,38,CCC(C)Nc1c2c(cc3nsnc13)N(CC)CN2C,-2.61,15.351203711654595
sample,39,CCCNc1c2c(c(C)c3nsnc13)N(C)CN2C,-2.58,14.535075416092141
sample,40,CCCN1CCN(C)c2c1cc1nsnc1c2NC,-2.62,18.916164201252556
sample,41,CCN1CN(CC)c2c1cc1nsnc1c2NC,-2.64,6.522560166111923
sample,42,CCCN1CCN(C)c2cc3nsnc3c(NC)c21,-2.59,19.22230476627099
sample,43,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,-2.66,25.365718712614047
sample,44,CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,-2.5,21.996287012235914
sample,45,CCCN1CN(C)c2c1c(C)c1nsnc1c2NC,-2.69,5.550730088920966
sample,46,CCCN1CN(C)c2c1c(NC)c1nsnc1c2C,-2.63,4.857581466095278
sample,47,CCNc1c2c(c(CC)c3nsnc13)N(C)CN2C,-2.55,8.615225820952775
sample,48,CCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.6,13.075827721325002
sample,49,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76,4.4550528363330635
sample,50,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,-2.77,10.03449691989694
sample,51,CCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.67,28.29659448218859
sample,52,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72,22.988561282073107
sample,53,CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,-2.82,20.357793498524316
sample,54,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73,19.136263888428537
sample,55,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71,25.046788993185917
sample,56,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,-2.79,1.3478433708612971
sample,57,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68,4.81360090785933
sample,58,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74,15.644400173911112
sample,59,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68,10.572617107688162
sample,60,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77,18.600857807002615
sample,61,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83,16.81761784267267
sample,62,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71,16.007854900982785
sample,63,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81,12.869526995581923
sample,64,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74,17.00429688621153
sample,65,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77,9.105958744595158
sample,66,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61,9.667869449558617
sample,67,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71,10.77084355178134
sample,68,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.8,5.719778602467873
sample,69,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92,10.260015043473466
sample,70,CCCc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.78,9.716527832898967
sample,71,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.78,13.405431805755175
sample,72,CCN1CN(CC(C)C)c2c1cc1nsnc1c2C,-2.75,9.55125513069442
sample,73,CCCCN1CN(C)c2c1cc1nsnc1c2C,-2.66,9.614674147216657
sample,74,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,-2.72,5.36624279335131
sample,75,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72,6.97568647486086
