SMILES,sssr,clogp,mr,mw,tpsa,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,fracsp3,hall_kier_alpha,kappa1,kappa2,kappa3,labuteasa,number_aliphatic_rings,number_atom_stereocenters,number_bridgehead_atoms,number_HBA,number_HBD,number_hetero_atoms,number_hetero_cycles,number_rings,number_rotatable_bonds,number_saturated_rings,number_heavy_atoms,number_nh_oh,number_n_o,number_valence_electrons,max_partial_charge,min_partial_charge,fr_methoxy,fr_ether,fr_NH1,fr_NH0,fr_aniline,fr_unbrch_alkane,fr_bicyclic,fr_aryl_methyl,fr_Ndealkylation1,syba_score
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,3,1.81752,86.189,291.1517667,35.5,12.55009366,6.943477682,5.713135158,3.990305545,2.790050065,13.36659024,7.673774426,6.241582846,4.532875395,3.370122932,0.571428571,-1.4,13.57700066,5.179477979,2.226066257,123.6681136,1,0,0,6,0,6,2,3,3,0,20,0,5,108,0.109420839,-0.371075926,0,0,0,5,2,0,2,1,2,16.535818798580742
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,3,2.29242,84.128,292.1357823,41.49,12.21823514,7.005867102,5.060772395,3.984172144,2.920064278,13.03473172,7.736163846,5.589220083,4.526741995,3.500137146,0.571428571,-1.4,13.57700066,5.535354273,2.125124148,123.0218252,1,0,0,6,0,6,2,3,4,0,20,0,5,108,0.109420847,-0.382852826,1,1,0,4,2,0,2,1,1,21.51965690418151
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,3,2.7877,87.3307,291.1517667,44.29,12.47312355,7.140154559,5.490283519,3.855243045,2.834056712,13.28962014,7.870451303,6.018731207,4.397812895,3.368486033,0.571428571,-1.56,13.42431379,5.086989144,1.984487212,123.4581421,1,0,0,6,1,6,2,3,3,0,20,1,5,108,0.129670438,-0.381730051,0,0,1,4,3,0,2,0,1,20.72195050212793
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,3,3.1794,91.9697,305.1674167,44.29,13.01709363,7.82671063,5.348303202,4.029117696,3.102773985,13.83359021,8.557007373,5.876750889,4.571687546,3.637203306,0.6,-1.56,14.38031939,6.05291509,2.413725606,129.8230843,1,0,0,6,1,6,2,3,5,0,21,1,5,114,0.129670271,-0.381730184,0,0,1,4,3,0,2,0,1,18.637841528296143
CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.716275511,5.648397402,4.100912001,3.083301242,13.99672692,8.446572254,6.17684509,4.643481852,3.617730563,0.6,-1.56,14.38031939,5.673993098,2.310894511,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129670441,-0.38173005,0,0,1,4,3,0,2,0,1,21.083093651073593
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,3,2.7893,87.3527,291.1517667,44.29,12.30998685,7.250589678,5.179256896,3.86480275,2.778059826,13.12648343,7.980886422,5.707704584,4.407372601,3.312489147,0.571428571,-1.56,13.42431379,5.438441931,2.07690567,123.4581421,1,0,0,6,1,6,2,3,4,0,20,1,5,108,0.12967026,-0.381463263,0,0,1,4,3,0,2,0,2,22.021271844132094
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.678159362,5.653805127,4.347468259,3.019492342,13.99672692,8.408456105,6.182252815,4.890038109,3.553921663,0.6,-1.56,14.38031939,5.673993098,2.310894511,129.8230843,1,1,0,6,1,6,2,3,4,0,21,1,5,114,0.129670095,-0.381730324,0,0,1,4,3,0,2,0,1,18.42271679872876
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,3,2.91192,82.473,276.1408676,32.26,11.97312355,6.795771554,5.762673471,3.758709577,2.86907985,12.78962014,7.526068298,6.291121159,4.301279427,3.449152718,0.571428571,-1.36,12.66258162,4.63308663,2.056904052,117.90828,1,0,0,5,0,5,2,3,2,0,19,0,4,102,0.109420834,-0.371075937,0,0,0,4,2,0,2,1,1,22.06089743377223
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,3,3.1794,91.9697,305.1674167,44.29,13.01709363,7.750589678,5.586635928,3.981672044,2.92675276,13.83359021,8.480886422,6.115083616,4.524241894,3.461182081,0.6,-1.56,14.38031939,6.05291509,2.523576314,129.8230843,1,0,0,6,1,6,2,3,5,0,21,1,5,114,0.129670436,-0.381463123,0,0,1,4,3,0,2,0,1,28.682314110421164
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,3,3.1762,91.9257,305.1674167,44.29,13.34336704,7.52287006,6.258991539,3.927392187,2.95882696,14.15986362,8.253166804,6.787439227,4.469962037,3.493256281,0.6,-1.56,14.38031939,5.329570198,2.413725606,129.8230843,1,0,0,6,1,6,2,3,3,0,21,1,5,114,0.129678099,-0.379276742,0,0,1,4,3,0,2,0,1,22.103881966598454
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,3,3.05442,82.521,276.1408676,32.26,11.97312355,6.905615339,5.368067317,3.981917735,2.984023667,12.78962014,7.635912083,5.896515004,4.524487585,3.564096535,0.571428571,-1.36,12.66258162,4.63308663,1.872690432,117.90828,1,0,0,5,0,5,2,3,2,0,19,0,4,102,0.109420837,-0.368083898,0,0,0,4,2,0,2,1,1,14.243533081749296
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,3,2.3976,82.7137,277.1361166,44.29,11.76601677,6.579494388,5.209953433,3.744379485,2.770236719,12.58251335,7.309791131,5.738401121,4.286949335,3.30466604,0.538461538,-1.56,12.47261698,4.521898334,1.816588525,117.0932,1,0,0,6,1,6,2,3,2,0,19,1,5,102,0.129660112,-0.384527507,0,0,1,4,3,0,2,0,1,14.454418471845573
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,3,2.7877,87.3307,291.1517667,44.29,12.47312355,7.11749919,5.373475041,4.251225037,2.871399961,13.28962014,7.847795933,5.901922729,4.793794888,3.405829282,0.571428571,-1.56,13.42431379,5.086989144,1.898102931,123.4581421,1,1,0,6,1,6,2,3,3,0,20,1,5,108,0.129660456,-0.384527234,0,0,1,4,3,0,2,0,1,16.374663976175306
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,3,2.7877,87.3307,291.1517667,44.29,12.47312355,7.140154559,5.490283519,3.847932875,2.877655304,13.28962014,7.870451303,6.018731207,4.390502726,3.412084625,0.571428571,-1.56,13.42431379,5.086989144,1.984487212,123.4581421,1,0,0,6,1,6,2,3,3,0,20,1,5,108,0.129670095,-0.381730324,0,0,1,4,3,0,2,0,1,18.027224797148342
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,3,2.7893,87.3527,291.1517667,44.29,12.30998685,7.250589678,5.179256896,3.869868645,2.749456446,13.12648343,7.980886422,5.707704584,4.412438495,3.283885767,0.571428571,-1.56,13.42431379,5.438441931,2.07690567,123.4581421,1,0,0,6,1,6,2,3,4,0,20,1,5,108,0.129670434,-0.381463124,0,0,1,4,3,0,2,0,2,26.368009498861227
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,3,2.3992,82.7357,277.1361166,44.29,11.60288007,6.689929507,4.909859233,3.679895348,2.74611087,12.41937665,7.42022625,5.43830692,4.222465199,3.280540191,0.538461538,-1.56,12.47261698,4.845484639,1.903204471,117.0932,1,0,0,6,1,6,2,3,3,0,19,1,5,102,0.129660285,-0.384527368,0,0,1,4,3,0,2,0,1,19.22230476627099
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,3,2.6452,87.2827,291.1517667,44.29,12.47312355,7.030310774,5.869114009,3.754444157,2.585001514,13.28962014,7.760607518,6.397561696,4.297014007,3.119430835,0.571428571,-1.56,13.42431379,5.086989144,2.175933682,123.4581421,1,0,0,6,1,6,2,3,3,0,20,1,5,108,0.129670425,-0.381195107,0,0,1,4,3,0,2,0,2,24.05285246556288
CC(C)N1c2cc3nsnc3cc2CC1C,3,2.8507,68.196,233.0986685,29.02,9.766396935,5.700919571,4.788022268,3.278870592,2.708697096,10.58289352,6.431216315,5.316469956,3.835562604,3.217920656,0.5,-1.16,10.02355798,3.41728436,1.32626157,99.41856206,1,1,0,4,0,4,2,3,1,0,16,0,3,84,0.106370961,-0.365774548,0,0,0,3,1,0,2,0,0,7.299991964955492
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.655615339,5.775446348,4.106917735,3.168174182,13.99672692,8.385912083,6.303894036,4.649487585,3.702603503,0.6,-1.56,14.38031939,5.673993098,2.310894511,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129660291,-0.384527366,0,0,1,4,3,0,2,0,0,21.996287012235914
CCN1CCN(CC)c2c1cc1nsnc1c2NC,3,2.3992,82.7357,277.1361166,44.29,11.60288007,6.766050458,4.660594084,3.813760906,2.818059086,12.41937665,7.496347202,5.189041772,4.356330757,3.352488407,0.538461538,-1.56,12.47261698,4.845484639,1.816588525,117.0932,1,0,0,6,1,6,2,3,3,0,19,1,5,102,0.129660287,-0.384527368,0,0,1,4,3,0,2,0,2,14.841533650272295
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,3,3.1762,91.9257,305.1674167,44.29,13.34336704,7.52287006,6.258991539,3.934702356,2.915228368,14.15986362,8.253166804,6.787439227,4.477272206,3.44965769,0.6,-1.56,14.38031939,5.329570198,2.413725606,129.8230843,1,0,0,6,1,6,2,3,3,0,21,1,5,114,0.129678442,-0.379276469,0,0,1,4,3,0,2,0,1,24.798607671578054
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,3,3.0353,91.8997,305.1674167,44.29,13.18023034,7.621892506,5.920787354,4.017575135,3.120009511,13.99672692,8.352189249,6.449235042,4.560144985,3.654438832,0.6,-1.56,14.38031939,5.673993098,2.413725606,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129660287,-0.384527368,0,0,1,4,3,0,2,0,1,23.494270417819326
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.640154559,5.886730129,4.053466349,2.907280017,13.99672692,8.370451303,6.415177817,4.5960362,3.441709338,0.6,-1.56,14.38031939,5.673993098,2.413725606,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129670605,-0.381462989,0,0,1,4,3,0,2,0,1,29.208298379749593
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.655615339,5.775446348,4.10916201,3.149596842,13.99672692,8.385912083,6.303894036,4.65173186,3.684026163,0.6,-1.56,14.38031939,5.673993098,2.310894511,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129660458,-0.384527234,0,0,1,4,3,0,2,0,0,25.365718712614047
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,3,2.7877,87.3307,291.1517667,44.29,12.47312355,7.155615339,5.368067317,3.995114336,2.990877868,13.28962014,7.885912083,5.896515004,4.537684186,3.525307189,0.571428571,-1.56,13.42431379,5.086989144,1.898102931,123.4581421,1,0,0,6,1,6,2,3,3,0,20,1,5,108,0.129660289,-0.384527367,0,0,1,4,3,0,2,0,1,18.86787225566479
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,3,2.0257,88.9377,307.1466813,53.52,12.71823514,7.240406322,5.172056176,3.926054863,2.777549555,13.53473172,7.970703066,5.700503864,4.468624713,3.311978876,0.571428571,-1.6,14.34200367,6.027943213,2.510380651,128.5716874,1,0,0,7,1,7,2,3,5,0,21,1,6,114,0.129671848,-0.382862557,1,1,1,4,3,1,2,0,2,32.52859308721951
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,3,3.1794,91.9697,305.1674167,44.29,13.01709363,7.766050458,5.421526506,4.213624781,3.074412341,13.83359021,8.496347202,5.949974194,4.756194631,3.608841662,0.6,-1.56,14.38031939,6.05291509,2.413725606,129.8230843,1,0,0,6,1,6,2,3,5,0,21,1,5,114,0.129660288,-0.384527367,0,0,1,4,3,0,2,0,1,23.42647990653288
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,3,3.6985,91.779,304.1721678,32.26,13.38733712,7.966275511,5.982553129,4.31080258,3.339927554,14.2038337,8.696572254,6.511000817,4.85337243,3.893263051,0.625,-1.36,14.57198739,5.793888323,2.37265978,130.6381642,1,0,0,5,0,5,2,3,4,0,21,0,4,114,0.109693483,-0.368024306,0,0,0,4,2,0,2,1,0,23.307877821180846
CNc1c2c(cc3nsnc13)N(C)CCC2,3,2.1154,68.5527,234.0939174,41.05,9.44855969,5.480313786,4.156311057,3.216659387,2.427653923,10.26505627,6.21061053,4.684758745,3.759229238,2.962083244,0.454545455,-1.36,9.837011372,3.589443414,1.275681051,98.60348213,1,0,0,5,1,5,2,3,1,0,16,1,4,84,0.12780026,-0.385991799,0,0,1,3,2,0,2,0,0,18.745494770923795
