SMILES,Complexity,Ered_ag,syba_score
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,8,-2.58,16.535818798580742
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,7,-2.58,21.51965690418151
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,-2.61,20.72195050212793
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,6,-2.63,18.637841528296143
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,6,-2.65,18.637841528296143
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,6,-2.46,22.021271844132094
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,6,-2.63,18.42271679872876
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,6,-2.58,22.06089743377223
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,6,-2.57,28.682314110421164
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,-2.61,22.103881966598454
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,6,-2.59,14.243533081749296
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,-2.63,14.454418471845573
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,6,-2.67,16.374663976175306
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,6,-2.62,18.027224797148342
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,6,-2.71,26.368009498861227
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,6,-2.59,19.22230476627099
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,6,-2.61,24.05285246556288
CC(C)N1c2cc3nsnc3cc2CC1C,3,-2.56,7.299991964955492
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,6,-2.5,21.996287012235914
CCN1CCN(CC)c2c1cc1nsnc1c2NC,6,-2.58,14.841533650272295
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,-2.36,24.798607671578054
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,6,-2.55,23.494270417819326
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,-2.77,29.208298379749593
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,6,-2.66,25.365718712614047
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,6,-2.67,18.86787225566479
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,7,-2.5,32.52859308721951
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,6,-2.49,23.42647990653288
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,6,-2.47,23.307877821180846
CNc1c2c(cc3nsnc13)N(C)CCC2,5,-2.57,18.745494770923795
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,6,-2.48,21.010076377810687
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,6,-2.62,13.534923966510432
CCCN1CCN(CC)c2c1cc1nsnc1c2C,6,-2.62,15.16771265934998
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,6,-2.61,21.451254074987567
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,6,-2.64,17.881661621239562
CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,7,-2.69,16.366749027824582
CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,6,-2.67,25.945075062116807
CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,6,-2.63,14.677966233687762
CCc1c2c(cc3nsnc13)N(CC)CCN2CC,6,-2.6,12.783692758839095
CCN1CCN(CC)c2c1cc1nsnc1c2C,6,-2.54,10.2171944763568
CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,6,-2.68,16.73580712512096
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,6,-2.51,24.797167304502867
CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,6,-2.66,28.408936570821485
CCN1CCN(C)c2cc3nsnc3c(C)c21,6,-2.61,11.469550835784371
CCCN1CCN(C)c2c1cc1nsnc1c2NC,6,-2.62,18.916164201252556
COCCNc1c2c(cc3nsnc13)N(C)CCN2C,7,-2.69,27.12767211701616
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,6,-2.56,16.87633799915504
CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,6,-2.68,18.181864624285623
CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,6,-2.69,23.779979699936437
CCCN1CCN(CC)c2c1cc1nsnc1c2CC,6,-2.59,17.734210941832277
CNc1c2c(cc3nsnc13)N(C)CCN2C,6,-2.61,9.392099872063133
CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,6,-2.74,16.63494518718906
CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,6,-2.69,26.787148296802716
