SMILES,Ered_ag,syba_score
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,-2.58,16.5358188
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,-2.58,21.5196569
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.61,20.7219505
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,-2.63,18.63784153
CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,-2.65,21.08309365
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,-2.46,22.02127184
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,-2.63,18.4227168
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,-2.58,22.06089743
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,-2.57,28.68231411
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.61,22.10388197
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,-2.59,14.24353308
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.63,14.45441847
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,-2.67,16.37466398
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.62,18.0272248
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,-2.71,26.3680095
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,-2.59,19.22230477
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,-2.61,24.05285247
CC(C)N1c2cc3nsnc3cc2CC1C,-2.56,7.299991965
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,-2.5,21.99628701
CCN1CCN(CC)c2c1cc1nsnc1c2NC,-2.58,14.84153365
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.36,24.79860767
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,-2.55,23.49427042
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.77,29.20829838
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,-2.66,25.36571871
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,-2.67,18.86787226
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,-2.5,32.52859309
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,-2.49,23.42647991
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,-2.47,23.30787782
CNc1c2c(cc3nsnc13)N(C)CCC2,-2.57,18.74549477
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,-2.48,21.01007638
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,-2.62,13.53492397
CCCN1CCN(CC)c2c1cc1nsnc1c2C,-2.62,15.16771266
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,-2.61,21.45125407
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,-2.64,17.88166162
CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.69,16.36674903
CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,-2.67,25.94507506
CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,-2.63,14.67796623
CCc1c2c(cc3nsnc13)N(CC)CCN2CC,-2.6,12.78369276
CCN1CCN(CC)c2c1cc1nsnc1c2C,-2.54,10.21719448
CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,-2.68,16.73580713
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,-2.51,24.7971673
CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,-2.66,28.40893657
CCN1CCN(C)c2cc3nsnc3c(C)c21,-2.61,11.46955084
CCCN1CCN(C)c2c1cc1nsnc1c2NC,-2.62,18.9161642
COCCNc1c2c(cc3nsnc13)N(C)CCN2C,-2.69,27.12767212
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.56,16.876338
CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,-2.68,18.18186462
CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,-2.69,23.7799797
CCCN1CCN(CC)c2c1cc1nsnc1c2CC,-2.59,17.73421094
CNc1c2c(cc3nsnc13)N(C)CCN2C,-2.61,9.392099872
CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,-2.74,16.63494519
CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,-2.69,26.7871483
CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,-2.55,16.62930526
CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,-2.69,28.03206538
CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.8,34.73785524
CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,-2.55,19.66499599
CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,-2.58,20.62442325
CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,-2.87,21.23992472
CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,-2.63,26.49186338
CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.44,23.30634182
CCN1CN(CCOC)c2c1cc1nsnc1c2C,-2.83,12.28438259
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,-2.59,15.00997171
CCNc1cc(N(C)CC)cc2nsnc12,-2.62,35.87694386
CCCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.77,12.67808285
CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,-2.62,15.96683416
CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,-2.55,12.01060601
CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,-2.66,16.15692129
CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,-2.68,21.57982344
CCCOC1N(C)c2cc3nsnc3cc2N1CC,-2.7,8.103680167
CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.75,12.78256808
CCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.65,14.59796559
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,-2.61,18.88487224
CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,-2.5,26.68523661
CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,-2.54,22.06178764
CCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.67,28.29659448
CCCN1CCN(CC)c2c1cc1nsnc1c2NC,-2.73,19.79205183
CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.74,11.88607064
CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,-2.74,12.67850648
CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72,34.34236324
CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,-2.63,11.05717618
CCCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.72,21.17437558
CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.73,11.3289756
CCN1c2cc3nsnc3cc2N(CC)C1OC,-2.96,6.342594557
CCN1CCN(C)c2c1cc1nsnc1c2NC,-2.62,11.74715235
CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,-2.66,17.70376519
CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,-2.47,24.43402249
Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,-2.7,12.524805
CCN1CCc2c1cc1nsnc1c2C,-2.59,10.17872947
CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,-2.64,21.72875069
CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,-2.63,30.30400254
CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,-2.56,10.61581455
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,-2.66,21.5886774
CCN1CC(C)c2c1cc1nsnc1c2C,-2.66,-0.81290003
Cc1c2c(cc3nsnc13)N(C)C(C)CC2,-2.58,0.160110027
CCCN1CCN(C)c2c1cc1nsnc1c2C,-2.61,14.29182503
CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,-2.47,18.86993124
CCCCN1CCN(C)c2cc3nsnc3c(CCC)c21,-2.93,27.00685445
