SMILES,batch,Complexity,Ered_ag,syba_score
c1ccc2nsnc2c1,initial,0,-2.14,30.64013319172032
CC1Oc2c3c(c4nsnc4c2OC1C)CC(C)N3C,initial,6,-2.48,-17.95545072163183
CCCC1Oc2c(cc3nsnc3c2C)OC1C,initial,6,-2.38,-12.189081172804766
CCc1cc2nsnc2c(CCOC)c1OC,initial,7,-2.23,29.158193418773557
CCCc1cc2nsnc2c(OC)c1CCOC,initial,7,-2.21,31.95804428744624
CCCC/C([O-])=[N+](/C)c1c(N(C)CC)ccc2nsnc12,initial,6,-2.16,41.8664884653015
Cc1cc2nsnc2c2c1N(C)CCO2,initial,4,-2.37,3.9491616181784344
CCCOc1c2c(c(OC)c3nsnc13)C(CC)CO2,initial,6,-2.34,5.041255288438499
CCCN(c1ccc(OC)c2nsnc12)C(C)C,initial,5,-2.28,43.62461393354908
CCCN(c1ccc(/[N+](C)=C(\C)[O-])c2nsnc12)C(C)C,initial,6,-2.24,36.75641078360676
CCC(C)Nc1ccc(NCCN(C)C)c2nsnc12,sample,6,-2.41,47.47374692805473
CC1CN(C)c2c1c1c(c3nsnc23)OC(C)C(C)O1,sample,6,-2.42,-25.33595392718927
CC1COc2c(c3c(c4nsnc24)N(C)C(C)C3C)O1,sample,5,-2.42,-32.4292833573943
CCC1COc2c(c3c(c4nsnc24)N(C)C(C)C3)O1,sample,5,-2.42,-15.698522089379763
CC1COc2c3c(c4nsnc4c2O1)N(C)C(C)C3C,sample,5,-2.41,-32.1755244717859
CC1c2c3c(c4nsnc4c2N(C)C1C)OCCO3,sample,4,-2.46,-12.40835997308926
CC1COc2c(c3c(c4nsnc24)N(C)C(C)C3)O1,sample,5,-2.41,-30.488976486166106
COC1COc2c1c1c(c3nsnc23)CC(C)N1C,sample,6,-2.3,-28.035806746363658
CC1Oc2c3c(c4nsnc4c2OC1C)N(C)CCC3,sample,6,-2.47,-9.987830657348718
CC1COc2c(c3c(c4nsnc24)N(C)C(C)CC3)O1,sample,4,-2.54,-26.548206473787413
CC1COc2c3c(c4nsnc4c2O1)N(C)C(C)CC3,sample,5,-2.45,-27.96530855120569
CC1COc2c3c(c4nsnc4c2O1)C(C)CCN3C,sample,5,-2.51,-30.84502077087856
CC1Oc2c3c(c4nsnc4c2OC1C)C(C)(C)CO3,sample,5,-2.43,-25.538689814067336
C/C([O-])=[N+]1\c2c(c3c(c4nsnc24)C(C)CO3)CC1C,sample,5,-2.22,-20.490831330803598
CC1COc2c(c3c(c4nsnc24)N(C)CCC3C)O1,sample,5,-2.45,-29.019379942402477
CC1COc2c3c(c4nsnc4c2O1)N(C)CCC3C,sample,5,-2.47,-28.765621056794078
CC1COc2c(c3c(c4nsnc24)C(C)CCN3C)O1,sample,5,-2.54,-29.641037870619623
CC1Cc2c3c(c4nsnc4c2N(C)C1)OCC(C)O3,sample,5,-2.46,-27.73597631405786
CC1Cc2c3c(c4nsnc4c2N(C)C1)OC(C)CO3,sample,5,-2.46,-29.846227014301835
CC1Cc2c(c3c(c4nsnc24)OCC(C)O3)N(C)C1,sample,5,-2.49,-28.577698381054486
CC1Cc2c(c3c(c4nsnc24)OC(C)CO3)N(C)C1,sample,5,-2.52,-30.474829904139103
CC1Oc2c3c(c4nsnc4c2OC1C)CCCN3C,sample,6,-2.51,-8.901632235034791
CC1COc2c(c3c(c4nsnc24)CCC(C)N3C)O1,sample,5,-2.5,-24.768859428647797
CCC(C)Nc1c2c(c(NC)c3nsnc13)N(C)CN2C,sample,8,-2.62,12.111775851847101
CN(C)c1c(N(C)C)c(N(C)C)c2nsnc2c1N(C)C,sample,8,-2.38,15.996886132111902
CCC(C)N1CN(C)c2c1c(NC)c1nsnc1c2NC,sample,8,-2.66,7.5759873191069556
CCN1CN(C(C)C)c2c1c(NC)c1nsnc1c2NC,sample,8,-2.69,8.05982046853107
CCCCN1CN(C)c2c1c(NC)c1nsnc1c2NC,sample,8,-2.72,11.317354268152677
CCCN1CN(CC)c2c1c(NCC)c1nsnc1c2NC,sample,8,-2.63,4.547650966921655
CCN1CN(CC)c2c1c(NC)c1nsnc1c2NC,sample,8,-2.6,4.8048782442660105
CCCN1CCN(C)c2c1c(NC)c1nsnc1c2NC,sample,8,-2.5,10.02237655111562
CCCN(C)c1c2c(c3nsnc3c1NC(C)C)NCC2,sample,7,-2.44,15.611504548583286
CCCCN1CCNc2c1c(OC)c(NC)c1nsnc21,sample,6,-2.49,11.76495169241353
CCOC1N(CC)c2cc3nsnc3c(NC)c2N1CC,sample,8,-2.59,8.291450954280617
